Anger,Anticipation,Disgust,Fear,Joy,Negative,Positive,Sadness,Surprise,Trust
,,,,,parcimonieux,,,,
,,,,,insuffisamment,,,,
,,,,,démence,,,,
,,,,,forcé,,,,
,,,,,commotion cérébrale,,,,
,,,,,Distorsion,,,,
,,,,,décomposition,,,,
,,,,,répugner,,,,
,,,,,qui pourrit,,,,
,,,,,oblitérer,,,,
,,,,,brûlé,,,,
,,,,,campagne,,,,
,,,,,lesbienne,,,,
,,,,,confiscation,,,,
,,,,,désaccord,,,,
,,,,,minable,,,,
,,,,,sabre,,,,
,,,,,d'occasion,,,,
,,,,,talon,,,,
,,,,,délabré,,,,
,,,,,occulte,,,,
,,,,,froideur,,,,
,,,,,haïssant,,,,
,,,,,exposé,,,,
,,,,,brutalité,,,,
,,,,,disgracieux,,,,
,,,,,pauvre,,,,
,,,,,oblitération,,,,
,,,,,inégalité,,,,
,,,,,impureté,,,,
,,,,,manille,,,,
,,,,,non meublé,,,,
,,,,,artillerie,,,,
,,,,,chamailleries,,,,
,,,,,indiscipliné,,,,
,,,,,assouvir,,,,
,,,,,oublier,,,,
,,,,,avare,,,,
,,,,,excrément,,,,
,,,,,homosexualité,,,,
,,,,,opaque,,,,
,,,,,exorcisme,,,,
,,,,,homicide,,,,
,,,,,braconnage,,,,
,,,,,fornication,,,,
,,,,,suie,,,,
,,,,,abaissement,,,,
,,,,,asile,,,,
,,,,,glissement,,,,
,,,,,mandamus,,,,
,,,,,se tortiller,,,,
,,,,,détérioration,,,,
,,,,,fusil,,,,
,,,,,névrose,,,,
,,,,,croquer,,,,
,,,,,futile,,,,
,,,,,pervertir,,,,
,,,,,antipathique,,,,
,,,,,indésirable,,,,
,,,,,indifférence,,,,
,,,,,faon,,,,
,,,,,pénitencier,,,,
,,,,,bureaucrate,,,,
,,,,,ogre,,,,
,,,,,adversité,,,,
,,,,,ingrat,,,,
,,,,,hystérie,,,,
,,,,,désobligeant,,,,
,,,,,persécution,,,,
,,,,,visitation,,,,
,,,,,délibéré,,,,
,,,,,renonciation,,,,
,,,,,tourment,,,,
,,,,,indigne,,,,
,,,,,caille,,,,
,,,,,laid,,,,
,,,,,gonflé,,,,
,,,,,manque,,,,
,,,,,déplacer,,,,
,,,,,corrosif,,,,
,,,,,congédiement,,,,
,,,,,blocus,,,,
,,,,,se cacher,,,,
,,,,,tirer,,,,
,,,,,abject,,,,
,,,,,traumatique,,,,
,,,,,condescendant,,,,
,,,,,détester,,,,
,,,,,honte,,,,
,,,,,otage,,,,
,,,,,impraticable,,,,
,,,,,labeur,,,,
,,,,,xénophobie,,,,
,,,,,bourrasque,,,,
,,,,,inconscient,,,,
,,,,,complexé,,,,
,,,,,aggravation,,,,
,,,,,exploser,,,,
,,,,,désarticulé,,,,
,,,,,aqueux,,,,
,,,,,contusion,,,,
,,,,,paranoïa,,,,
,,,,,subvention,,,,
,,,,,sabotage,,,,
,,,,,bravade,,,,
,,,,,infarctus,,,,
,,,,,dénié,,,,
,,,,,rebelle,,,,
,,,,,coupé,,,,
,,,,,culpabilité,,,,
,,,,,fatal,,,,
,,,,,abattre,,,,
,,,,,pendaison,,,,
,,,,,oublié,,,,
,,,,,jeûne,,,,
,,,,,représailles,,,,
,,,,,réprimande,,,,
,,,,,manchon,,,,
,,,,,bruit,,,,
,,,,,accouchement,,,,
,,,,,trouille,,,,
,,,,,humble,,,,
,,,,,voyou,,,,
,,,,,sécrétion,,,,
,,,,,coquille,,,,
,,,,,angine,,,,
,,,,,cessation,,,,
,,,,,désabusé,,,,
,,,,,erratum,,,,
,,,,,assombri,,,,
,,,,,destin,,,,
,,,,,inconstant,,,,
,,,,,inaction,,,,
,,,,,simple,,,,
,,,,,gêne,,,,
,,,,,précaire,,,,
,,,,,brisé,,,,
,,,,,confondu,,,,
,,,,,subversif,,,,
,,,,,toison,,,,
,,,,,dénégation,,,,
,,,,,pas cher,,,,
,,,,,perturbé,,,,
,,,,,délictuelle,,,,
,,,,,au chômage,,,,
,,,,,trébucher,,,,
,,,,,fécale,,,,
,,,,,inimaginable,,,,
,,,,,typhon,,,,
,,,,,pistolet,,,,
,,,,,fuir,,,,
,,,,,refus,,,,
,,,,,reflux,,,,
,,,,,convoiter,,,,
,,,,,maladroit,,,,
,,,,,marécage,,,,
,,,,,abortif,,,,
,,,,,calomnier,,,,
,,,,,anaconda,,,,
,,,,,redondant,,,,
,,,,,dérapage,,,,
,,,,,griffe,,,,
,,,,,parjure,,,,
,,,,,monstre,,,,
,,,,,en voie de disparition,,,,
,,,,,mercure,,,,
,,,,,péri,,,,
,,,,,intempestif,,,,
,,,,,affamé,,,,
,,,,,astringent,,,,
,,,,,tourmente,,,,
,,,,,charmé,,,,
,,,,,décrier,,,,
,,,,,assassinat,,,,
,,,,,intimider,,,,
,,,,,vertiges,,,,
,,,,,vomissement,,,,
,,,,,coulé,,,,
,,,,,métier à tisser,,,,
,,,,,enlèvement,,,,
,,,,,variqueux,,,,
,,,,,entacher,,,,
,,,,,bord,,,,
,,,,,Malheureusement,,,,
,,,,,attache,,,,
,,,,,rachitique,,,,
,,,,,contradictoire,,,,
,,,,,ornements,,,,
,,,,,hydre,,,,
,,,,,abandon,,,,
,,,,,craintivement,,,,
,,,,,sorcière,,,,
,,,,,arrière,,,,
,,,,,barbillon,,,,
,,,,,dilemme,,,,
,,,,,compliquer,,,,
,,,,,criminel,,,,
,,,,,déprécier,,,,
,,,,,gorille,,,,
,,,,,alcool,,,,
,,,,,urgent,,,,
,,,,,indigne de confiance,,,,
,,,,,requin,,,,
,,,,,agresseur,,,,
,,,,,dû,,,,
,,,,,déplacée,,,,
,,,,,cul,,,,
,,,,,au cas où,,,,
,,,,,argument,,,,
,,,,,épouvantablement,,,,
,,,,,scotch,,,,
,,,,,sangsue,,,,
,,,,,dédain,,,,
,,,,,explosion,,,,
,,,,,effacer,,,,
,,,,,faux,,,,
,,,,,sans importance,,,,
,,,,,détruit,,,,
,,,,,toxine,,,,
,,,,,chute,,,,
,,,,,fluctuation,,,,
,,,,,rancunier,,,,
,,,,,fumier,,,,
,,,,,dose excessive,,,,
,,,,,étrangler,,,,
,,,,,infirmité,,,,
,,,,,violer,,,,
,,,,,choléra,,,,
,,,,,rougir,,,,
,,,,,chaotique,,,,
,,,,,capiteux,,,,
,,,,,inflexible,,,,
,,,,,répudiation,,,,
,,,,,radotage,,,,
,,,,,sanglant,,,,
,,,,,cruauté,,,,
,,,,,fade,,,,
,,,,,loup-garou,,,,
,,,,,exagéré,,,,
,,,,,cassé,,,,
,,,,,officieux,,,,
,,,,,exclu,,,,
,,,,,procès,,,,
,,,,,dictatorial,,,,
,,,,,perroquet,,,,
,,,,,cerf-volant,,,,
,,,,,monstruosité,,,,
,,,,,brutal,,,,
,,,,,blessé,,,,
,,,,,érotique,,,,
,,,,,désactivée,,,,
,,,,,rat,,,,
,,,,,sanguinaire,,,,
,,,,,efféminé,,,,
,,,,,cadavre,,,,
,,,,,caprice,,,,
,,,,,bruyant,,,,
,,,,,prémédité,,,,
,,,,,perdre,,,,
,,,,,rassis,,,,
,,,,,blâme,,,,
,,,,,actionnable,,,,
,,,,,feignant,,,,
,,,,,abomination,,,,
,,,,,prostitution,,,,
,,,,,scandaleux,,,,
,,,,,inerte,,,,
,,,,,incohérence,,,,
,,,,,opium,,,,
,,,,,guérilla,,,,
,,,,,se glisser,,,,
,,,,,indocile,,,,
,,,,,doute,,,,
,,,,,irrégularité,,,,
,,,,,mauvais,,,,
,,,,,débridé,,,,
,,,,,infâme,,,,
,,,,,sans titre,,,,
,,,,,broyage,,,,
,,,,,ivre,,,,
,,,,,restriction,,,,
,,,,,pétrole,,,,
,,,,,à tort,,,,
,,,,,inopérant,,,,
,,,,,rabat,,,,
,,,,,opposition,,,,
,,,,,interminable,,,,
,,,,,délinquant,,,,
,,,,,envahir,,,,
,,,,,cabot,,,,
,,,,,cannibalisme,,,,
,,,,,écraser,,,,
,,,,,destructeur,,,,
,,,,,paresse,,,,
,,,,,éluder,,,,
,,,,,examen minutieux,,,,
,,,,,non pris en charge,,,,
,,,,,effroi,,,,
,,,,,démembrement,,,,
,,,,,termites,,,,
,,,,,étourdi,,,,
,,,,,macabre,,,,
,,,,,dessécher,,,,
,,,,,gourmandise,,,,
,,,,,ventouse,,,,
,,,,,avalanche,,,,
,,,,,inéquitable,,,,
,,,,,illégitime,,,,
,,,,,gaspillé,,,,
,,,,,cocaïne,,,,
,,,,,anarchisme,,,,
,,,,,euthanasie,,,,
,,,,,intervention,,,,
,,,,,insatisfaction,,,,
,,,,,inepte,,,,
,,,,,poison,,,,
,,,,,stress,,,,
,,,,,citation,,,,
,,,,,vouloir,,,,
,,,,,cloque,,,,
,,,,,évanouissement,,,,
,,,,,déshonorant,,,,
,,,,,cochonneries,,,,
,,,,,whisky,,,,
,,,,,puant,,,,
,,,,,lutin,,,,
,,,,,lourdaud,,,,
,,,,,affaissement,,,,
,,,,,erroné,,,,
,,,,,intolérance,,,,
,,,,,Noir,,,,
,,,,,vantant,,,,
,,,,,sang,,,,
,,,,,ver,,,,
,,,,,stupeur,,,,
,,,,,présage,,,,
,,,,,abominable,,,,
,,,,,pandémie,,,,
,,,,,constipation,,,,
,,,,,atténué,,,,
,,,,,suinter,,,,
,,,,,indéfendable,,,,
,,,,,cambriolage,,,,
,,,,,querelle,,,,
,,,,,cintreuse,,,,
,,,,,faute,,,,
,,,,,sangsues,,,,
,,,,,désavouer,,,,
,,,,,suffocante,,,,
,,,,,disqualifié,,,,
,,,,,rejette,,,,
,,,,,chagriner,,,,
,,,,,crépitement,,,,
,,,,,gaufre,,,,
,,,,,arriéré,,,,
,,,,,négatif,,,,
,,,,,carnage,,,,
,,,,,timidité,,,,
,,,,,lubrique,,,,
,,,,,inutile,,,,
,,,,,sceptique,,,,
,,,,,dévastation,,,,
,,,,,appât,,,,
,,,,,démon,,,,
,,,,,malformation,,,,
,,,,,fomenter,,,,
,,,,,narcotique,,,,
,,,,,le plus bas,,,,
,,,,,querelleur,,,,
,,,,,anéanti,,,,
,,,,,auteur,,,,
,,,,,sédition,,,,
,,,,,mauvaise gestion,,,,
,,,,,chasseur,,,,
,,,,,coma,,,,
,,,,,alarmant,,,,
,,,,,tumeur,,,,
,,,,,cécité,,,,
,,,,,récalcitrant,,,,
,,,,,deuil,,,,
,,,,,incontrôlable,,,,
,,,,,camaïeu,,,,
,,,,,sucer,,,,
,,,,,brute,,,,
,,,,,trahir,,,,
,,,,,aliéner,,,,
,,,,,interdit,,,,
,,,,,appel,,,,
,,,,,stérile,,,,
,,,,,caramel,,,,
,,,,,hypocrite,,,,
,,,,,intraitable,,,,
,,,,,craintif,,,,
,,,,,attaquer,,,,
,,,,,blackjack,,,,
,,,,,rauque,,,,
,,,,,impie,,,,
,,,,,carie,,,,
,,,,,infliger,,,,
,,,,,importun,,,,
,,,,,chienne,,,,
,,,,,cauchemar,,,,
,,,,,rétrécir,,,,
,,,,,congestion,,,,
,,,,,effrayer,,,,
,,,,,trompant,,,,
,,,,,objection,,,,
,,,,,épuisement,,,,
,,,,,expirer,,,,
,,,,,désastreux,,,,
,,,,,paralyser,,,,
,,,,,liaison,,,,
,,,,,vampire,,,,
,,,,,rayon,,,,
,,,,,veilleuse,,,,
,,,,,luttes,,,,
,,,,,le plus haut,,,,
,,,,,tache,,,,
,,,,,falsification,,,,
,,,,,spectacle,,,,
,,,,,réactionnaire,,,,
,,,,,marmonner,,,,
,,,,,aliéné,,,,
,,,,,terroriser,,,,
,,,,,se méfier,,,,
,,,,,dénaturer,,,,
,,,,,autoritaire,,,,
,,,,,râpé,,,,
,,,,,suspect,,,,
,,,,,abandonner,,,,
,,,,,babillage,,,,
,,,,,gag,,,,
,,,,,douteux,,,,
,,,,,discordant,,,,
,,,,,victime,,,,
,,,,,reproche,,,,
,,,,,handicap,,,,
,,,,,maladif,,,,
,,,,,belligérant,,,,
,,,,,indiscret,,,,
,,,,,plainte,,,,
,,,,,grimacer,,,,
,,,,,suppression,,,,
,,,,,désespéré,,,,
,,,,,orc,,,,
,,,,,morbide,,,,
,,,,,pessimiste,,,,
,,,,,pessimisme,,,,
,,,,,fragile,,,,
,,,,,infamie,,,,
,,,,,misplace,,,,
,,,,,réserves,,,,
,,,,,démolition,,,,
,,,,,mélancolie,,,,
,,,,,condamné,,,,
,,,,,tremblante,,,,
,,,,,trahison,,,,
,,,,,invalider,,,,
,,,,,griller,,,,
,,,,,désuétude,,,,
,,,,,pornographie,,,,
,,,,,pétard,,,,
,,,,,sarcome,,,,
,,,,,inintelligible,,,,
,,,,,grumeleux,,,,
,,,,,nécessaire,,,,
,,,,,insurmontable,,,,
,,,,,mortel,,,,
,,,,,aberrant,,,,
,,,,,la malédiction,,,,
,,,,,mouchard,,,,
,,,,,scruter,,,,
,,,,,affligeant,,,,
,,,,,gentleman,,,,
,,,,,avidité,,,,
,,,,,myopie,,,,
,,,,,intensité,,,,
,,,,,banshee,,,,
,,,,,échapper,,,,
,,,,,démissionner,,,,
,,,,,d'opéra,,,,
,,,,,varicelle,,,,
,,,,,usurpé,,,,
,,,,,vulgaire,,,,
,,,,,horreur,,,,
,,,,,serein,,,,
,,,,,inquiétude,,,,
,,,,,inefficacité,,,,
,,,,,aggravant,,,,
,,,,,dissident,,,,
,,,,,trempé,,,,
,,,,,délicat,,,,
,,,,,sirène,,,,
,,,,,accusateur,,,,
,,,,,coupable,,,,
,,,,,litière,,,,
,,,,,blesser,,,,
,,,,,céder,,,,
,,,,,jachère,,,,
,,,,,Blues,,,,
,,,,,porter atteinte,,,,
,,,,,tabou,,,,
,,,,,frustration,,,,
,,,,,inadmissible,,,,
,,,,,mutinerie,,,,
,,,,,injustice,,,,
,,,,,cabinets,,,,
,,,,,léthargique,,,,
,,,,,rencontre,,,,
,,,,,relégation,,,,
,,,,,épidémie,,,,
,,,,,méconnu,,,,
,,,,,flâneur,,,,
,,,,,douleur,,,,
,,,,,régresser,,,,
,,,,,invasion,,,,
,,,,,méchant,,,,
,,,,,hâtif,,,,
,,,,,fausses indications,,,,
,,,,,cloître,,,,
,,,,,inédit,,,,
,,,,,lié,,,,
,,,,,oblitéré,,,,
,,,,,imperfection,,,,
,,,,,tragédie,,,,
,,,,,se pavaner,,,,
,,,,,limace,,,,
,,,,,Damn,,,,
,,,,,inconvénient,,,,
,,,,,hérésie,,,,
,,,,,irresponsable,,,,
,,,,,nihilisme,,,,
,,,,,inaccessible,,,,
,,,,,erreur,,,,
,,,,,arrogance,,,,
,,,,,abolition,,,,
,,,,,putain,,,,
,,,,,querelles,,,,
,,,,,entrave,,,,
,,,,,sans cœur,,,,
,,,,,tyran,,,,
,,,,,inquiéter,,,,
,,,,,insupportable,,,,
,,,,,en apparence,,,,
,,,,,pneumonie,,,,
,,,,,oligarchie,,,,
,,,,,tristesse,,,,
,,,,,saisir,,,,
,,,,,croisé,,,,
,,,,,imparfaitement,,,,
,,,,,superflu,,,,
,,,,,ressentiment,,,,
,,,,,smash,,,,
,,,,,hangar,,,,
,,,,,croisade,,,,
,,,,,squatter,,,,
,,,,,dolor,,,,
,,,,,adultère,,,,
,,,,,bataille,,,,
,,,,,piqûre,,,,
,,,,,manquant,,,,
,,,,,sale,,,,
,,,,,gitan,,,,
,,,,,frauder,,,,
,,,,,hostilité,,,,
,,,,,hippie,,,,
,,,,,véhément,,,,
,,,,,matérialisme,,,,
,,,,,inhiber,,,,
,,,,,maîtresse,,,,
,,,,,rêne,,,,
,,,,,imprévisible,,,,
,,,,,déformer,,,,
,,,,,glacial,,,,
,,,,,hypocrisie,,,,
,,,,,subversion,,,,
,,,,,additionneur,,,,
,,,,,pernicieux,,,,
,,,,,amèrement,,,,
,,,,,escroc,,,,
,,,,,inhumation,,,,
,,,,,confiné,,,,
,,,,,plaider,,,,
,,,,,endeuillée,,,,
,,,,,pâte à frire,,,,
,,,,,marge,,,,
,,,,,somatique,,,,
,,,,,humiliation,,,,
,,,,,atrophie,,,,
,,,,,diable,,,,
,,,,,peines,,,,
,,,,,immaturité,,,,
,,,,,vaincu,,,,
,,,,,résiliation,,,,
,,,,,déception,,,,
,,,,,haïssable,,,,
,,,,,brouillage,,,,
,,,,,révocation,,,,
,,,,,disqualification,,,,
,,,,,blasphématoire,,,,
,,,,,emprisonnement,,,,
,,,,,arrérages,,,,
,,,,,fumisterie,,,,
,,,,,crapaud,,,,
,,,,,débâcle,,,,
,,,,,bulbeux,,,,
,,,,,insignifiant,,,,
,,,,,bâillement,,,,
,,,,,traître,,,,
,,,,,bourreau,,,,
,,,,,inactivité,,,,
,,,,,apathie,,,,
,,,,,bas,,,,
,,,,,dépression,,,,
,,,,,souffrir,,,,
,,,,,éternuer,,,,
,,,,,éjection,,,,
,,,,,nigaud,,,,
,,,,,sourds,,,,
,,,,,grotesque,,,,
,,,,,massacre,,,,
,,,,,épilepsie,,,,
,,,,,guillotine,,,,
,,,,,mauvais service,,,,
,,,,,marchandise,,,,
,,,,,échec,,,,
,,,,,se priver de,,,,
,,,,,endoctrinement,,,,
,,,,,boisson alcoolisée,,,,
,,,,,calorifugeage,,,,
,,,,,superstition,,,,
,,,,,emmêlés,,,,
,,,,,nécessiteux,,,,
,,,,,cupide,,,,
,,,,,incursion,,,,
,,,,,peu sûr,,,,
,,,,,en faillite,,,,
,,,,,sans scrupules,,,,
,,,,,martingale,,,,
,,,,,féodal,,,,
,,,,,macis,,,,
,,,,,écoute,,,,
,,,,,bordée,,,,
,,,,,empoisonnement,,,,
