,Nava Representation,Tokenized Lemmatized
126,"[u'seventh', u'dress', u'hat', u'model', u'girl', u'everything', u'appear', u'perfect']","[u'constance', u'was', u'in', u'seventh', u'heaven', u'the', u'dresses', u'the', u'hats', u'the', u'model', u'girls', u'everything', u'appeared', u'perfect', u'to', u'her']"
127,"[u'thrill', u'bit', u'little', u'little', u'plastic']","[u'oh', u'tilly', u'was', u'thrilled', u'to', u'bits', u'with', u'that', u'little', u'that', u'little', u'plastic', u'thing']"
128,"[u'tickle', u'pink', u'would', u'would', 'not_was', 'not_quiet']","[u'i', u'am', u'tickled', u'pink', u'if', u'i', u'was', u'not', u'i', u'would', u'not', u'have', u'kept', u'quiet', u'about', u'you', u'and', u'him', u'would', u'i']"
129,"[u'get', u'top', u'world']","[u'erm', u'since', u'we', u'have', u'got', u'together', u'we', u'we', u'are', u'on', u'top', u'of', u'the', u'world']"
130,"[u'feel', u'end', u'treatment', u'feel', u'walk', u'air']","[u'you', u'feel', u'at', u'the', u'end', u'of', u'the', u'treatment', u'you', u'feel', u'as', u'if', u'you', u'are', u'walking', u'on', u'air']"
131,"[u'go', u'banana']","[u'i', u'will', u'go', u'bananas']"
132,"[u'may', u'full', 'not_playing']","[u'it', u'may', u'very', u'well', u'be', u'that', u'i', u'am', u'not', u'playing', u'with', u'a', u'full', u'deck']"
133,"[u'think', u'nuts']","[u'if', u'you', u'think', u'about', u'it', u'long', u'enough', u'you', u'will', u'go', u'nuts']"
134,"[u'swear', u'screw', u'loose']","[u'i', u'swear', u'you', u'have', u'a', u'screw', u'loose']"
135,"[u'gon', u'get', u'stir', u'crazy', u'play', u'badminton', u'know', u'score', u'gon', u'drive', u'crazy', 'not_able']","[u'i', u'am', u'gonna', u'get', u'stir', u'crazy', u'not', u'being', u'able', u'to', u'play', u'badminton', u'i', u'know', u'and', u'i', u'score', u'it', u'is', u'gonna', u'drive', u'me', u'crazy']"
136,"[u'may', u'necessary', u'botch', u'repair', u'use', u'hurdle', u'bedstead', u'corrugate', u'iron', u'sheet', u'scrap', u'wire', u'netting', u'baler', u'twine']","[u'it', u'may', u'well', u'be', u'necessary', u'to', u'botch', u'up', u'repairs', u'using', u'hurdles', u'bedsteads', u'corrugated', u'iron', u'sheets', u'scraps', u'of', u'wire', u'netting', u'and', u'baler', u'twine']"
137,"[u'involve', u'trial', u'error', u'practice', u'involve', u'watch', u'learn', u'okay']","[u'it', u'was', u'involved', u'with', u'your', u'trial', u'and', u'error', u'and', u'practice', u'but', u'it', u'was', u'certainly', u'involved', u'with', u'vicky', u'and', u'that', u'is', u'watching', u'or', u'learning', u'from', u'okay']"
138,"[u'picture', u'wide', u'mark', u'find', u'say', u'nothing', u'make', u'gesture', u'something', u'common', u'petty', u'salute']","[u'this', u'picture', u'of', u'dreadnought', u'was', u'so', u'wide', u'of', u'the', u'mark', u'that', u'willis', u'found', u'it', u'better', u'to', u'say', u'nothing', u'simply', u'making', u'a', u'gesture', u'which', u'had', u'something', u'in', u'common', u'with', u'a', u'petty', u'officer', u's', u'salute']"
139,"[u'do', u'drive', u'horse', u'canter', u'gallop', u'road', 'not_ever']","[u'yes', u'the', u'done', u'thing', u'for', u'driving', u'horses', u'to', u'canter', u'or', u'gallop', u'on', u'the', u'road', u'they', u'never', u'ever', u'should']"
140,"[u'next', u'inform', u'gatecrash', u'party', u'throw', u'fountain']","[u'perhaps', u'next', u'time', u'you', u'will', u'inform', u'me', u'first', u'before', u'you', u'gatecrash', u'my', u'party', u'and', u'throw', u'yourself', u'into', u'the', u'fountain']"
141,"[u'do', u'speak', u'turn']","[u'did', u'i', u'speak', u'out', u'of', u'turn']"
142,"[u'come', u'ceremony', u'home', 'not_stand']","[u'come', u'on', u'now', u'malachi', u'do', u'not', u'stand', u'on', u'ceremony', u'here', u'at', u'home']"
143,"[u'find', u'particular', u'heel', u'go']","[u'so', u'they', u'find', u'your', u'particular', u'weakness', u'your', u'achilles', u'heel', u'and', u'they', u'had', u'go', u'for', u'that']"
144,"[u'government', u'take', u'view', u'address', u'domestic', u'foreign', u'complaint', u'alarm', u'bell', u'ring', 'not_set']","[u'the', u'government', u'takes', u'the', u'view', u'that', u'president', u'clinton', u'was', u'simply', u'addressing', u'domestic', u'critics', u'of', u'his', u'foreign', u'policy', u'and', u'that', u'his', u'complaints', u'should', u'not', u'set', u'the', u'alarm', u'bells', u'ringing']"
145,"[u'someone', u'come', u'pheasant', u'latch', u'door', u'wall']","[u'someone', u'came', u'out', u'of', u'the', u'two', u'pheasants', u'and', u'latched', u'the', u'door', u'back', u'to', u'the', u'wall', u'hospitably']"
146,"[u'fuel', u'gauge', u'go', u'blink', u'start']","[u'the', u'fuel', u'gauge', u'had', u'gone', u'on', u'the', u'blink', u'shortly', u'after', u'the', u'start']"
147,"[u'someone', u'carry']","[u'in', u'the', u'army', u'someone', u'has', u'to', u'carry', u'the', u'can']"
148,[u'situation'],"[u'they', u're', u'in', u'a', u'catch', u'22', u'situation']"
149,"[u'crux', u'matter', 'not_is']","[u'ah', u'that', u'is', u'the', u'crux', u'of', u'the', u'matter', u'is', u'it', u'not']"
150,"[u'get', u'bottom', u'stair', u'lost']","[u'it', u's', u'alright', u'but', u'you', u'get', u'to', u'the', u'bottom', u'of', u'those', u'stairs', u'and', u'sometimes', u'feel', u'lost']"
151,"[u'embarrassing', u'fault', u'tolerant', u'say', u'bug', u'machine', u'cause', u'reset', u'clock', u'cause', u'system', u'time', u'dependent', u'go']","[u'it', u's', u'an', u'embarrassing', u'thing', u'for', u'a', u'fault', u'tolerant', u'vendor', u'to', u'have', u'to', u'say', u'but', u'a', u'bug', u'in', u'guardian', u'for', u'the', u'tandem', u'computers', u'inc', u'nonstop', u'clx', u'machines', u'caused', u'them', u'to', u'reset', u'their', u'clocks', u'to', u'december', u'1', u'1983', u'on', u'november', u'1', u'causing', u'systems', u'with', u'time', u'dependent', u'programs', u'to', u'go', u'haywire']"
152,[u'dire'],"[u'she', u'was', u'in', u'dire', u'straits']"
153,"[u'much', u'last', u'erm', u'result', u'ill']","[u'yeah', u'very', u'much', u'a', u'last', u'resort', u'and', u'it', u'is', u'usually', u'erm', u'as', u'a', u'result', u'of', u'ill', u'treatment']"
154,"[u'get', u'tray', u'study', u'murder', u'pay']","[u'get', u'that', u'tray', u'along', u'to', u'the', u'study', u'or', u'there', u'll', u'be', u'murder', u'to', u'pay']"
155,"[u'view', u'necessary', u'dignity']","[u'they', u'viewed', u'such', u'methods', u'as', u'a', u'necessary', u'evil', u'unavoidable', u'yet', u'somehow', u'beneath', u'their', u'dignity']"
156,"[u'put', u'brave', u'smile', u'know', u'nothing', u'smile']","[u'the', u'bookman', u'put', u'on', u'a', u'brave', u'face', u'and', u'smiled', u'but', u'endill', u'knew', u'there', u'was', u'nothing', u'to', u'smile', u'about']"
157,"[u'save', u'bell']","[u'but', u'we', u'are', u'saved', u'by', u'the', u'bell']"
158,"[u'train', u'psychiatrist', u'screening', u'test', u'fail', u'scratch', u'surface']","[u'trained', u'as', u'they', u'were', u'the', u'psychiatrists', u'on', u'the', u'screening', u'tests', u'had', u'failed', u'to', u'scratch', u'the', u'surface', u'of', u'her', u'most', u'secret', u'place']"
159,"[u'spell', u'trouble', u'want', u'way']","[u'you', u'spell', u'trouble', u'and', u'i', u'want', u'you', u'out', u'of', u'the', u'way']"
160,"[u'cost', u'redevelop', u'dilapidated', u'shopping', u'flat', u'could', u'spiral', u'control', u'councillor', u'warn']","[u'the', u'cost', u'of', u'redeveloping', u'a', u'dilapidated', u'shopping', u'arcade', u'into', u'flats', u'could', u'spiral', u'out', u'of', u'control', u'a', u'councillor', u'has', u'warned']"
161,"[u'would', u'say', u'would', u'sticky', u'employment', u'say', u'drive', u'lose', u'employment', u'finish', 'not_was']","[u'if', u'he', u'was', u'not', u'there', u'then', u'i', u'would', u'say', u'that', u'you', u'you', u'had', u'you', u'would', u'be', u'on', u'a', u'sticky', u'wicket', u'because', u'most', u'terms', u'of', u'employment', u'say', u'that', u'if', u'you', u'er', u'have', u'a', u'driving', u'licence', u'and', u'you', u'lose', u'it', u'then', u'your', u'employment', u'will', u'automatically', u'finish']"
162,"[u'put', u'anything', u'stumble', u'people', u'come', 'not_want']","[u'and', u'that', u'we', u'do', u'not', u'want', u'to', u'put', u'up', u'anything', u'that', u'll', u'be', u'a', u'stumbling', u'block', u'to', u'people', u'coming']"
163,"[u'take', u'easy', u'use', u'gas', u'carry']","[u'so', u'we', u'now', u'take', u'the', u'easy', u'way', u'out', u'by', u'using', u'gas', u'which', u'we', u'carry', u'with', u'us']"
164,"[u'pause', u'moment', u'watch', u'resemble', u'tar', u'baby', u'stick', u'dirty']","[u'she', u'paused', u'for', u'a', u'moment', u'to', u'watch', u'rose', u'who', u'by', u'now', u'resembled', u'a', u'tar', u'baby', u'stuck', u'all', u'over', u'with', u'dirty', u'wool']"
165,"[u'would', u'thorny', u'rail', u'privatisation', u'investment', u'need', 'not_drawn']","[u'mr', u'ridley', u'would', u'not', u'be', u'drawn', u'on', u'the', u'thorny', u'issue', u'of', u'rail', u'privatisation', u'other', u'then', u'to', u'say', u'that', u'investment', u'was', u'urgently', u'needed', u'in', u'britain']"
166,"[u'submersible', u'rise', u'dock', u'overflowing', u'sea', u'tide', u'boot']","[u'the', u'submersible', u'rose', u'higher', u'in', u'the', u'dock', u'the', u'overflowing', u'sea', u'rushing', u'like', u'a', u'tide', u'over', u'their', u'boots']"
167,"[u'extra', u'tight', u'could', u'mean', u'difference', u'life', u'death']","[u'eight', u'extra', u'bullets', u'in', u'a', u'tight', u'spot', u'could', u'mean', u'the', u'difference', u'between', u'life', u'and', u'death']"
168,"[u'tip', u'iceberg']","[u'presumably', u'that', u'has', u'that', u'is', u'just', u'the', u'tip', u'of', u'the', u'iceberg']"
169,"[u'sense', u'would', u'uphill']","[u'but', u'somehow', u'he', u'sensed', u'that', u'that', u'would', u'be', u'an', u'uphill', u'battle']"
170,"[u'get', u'morning', u'say', u'swap', u'go', u'hitch', u'clutch', u'photograph', u'promise']","[u'he', u'got', u'back', u'here', u'late', u'this', u'morning', u'saying', u'the', u'swap', u'had', u'gone', u'without', u'a', u'hitch', u'and', u'clutching', u'the', u'photograph', u'of', u'sam', u'we', u'had', u'been', u'promised']"
171,"[u'take', u'calculated', u'spur', u'moment']","[u'he', u'just', u'took', u'a', u'calculated', u'risk', u'on', u'the', u'spur', u'of', u'the', u'moment']"
172,"[u'close', u'shave']","[u'close', u'shave', u'that', u'one']"
173,"[u'tell', u'coast', u'clear']","[u'yeah', u'geoff', u'tell', u'him', u'the', u'coast', u'is', u'clear']"
174,"[u'teeth', u'chatter', u'dice', u'death']","[u'hoomey', u's', u'teeth', u'were', u'chattering', u'after', u'his', u'dice', u'with', u'death']"
175,"[u'there', u'legal', u'pending', u'dicey']","[u'there', u'is', u'a', u'legal', u'case', u'pending', u'and', u'it', u'is', u'a', u'very', u'very', u'dicey', u'situation']"
176,"[u'mark', u'prove', u'false', u'job', u'life']","[u'and', u'with', u'marks', u'to', u'prove', u'it', u'that', u'er', u'just', u'sort', u'of', u'one', u'false', u'move', u'and', u'my', u'job', u'with', u'life', u'was', u'over']"
177,"[u'whole', u'seem', u'fraught', u'danger']","[u'the', u'whole', u'area', u'seemed', u'fraught', u'with', u'danger']"
178,"[u'escape', u'death', u'hair', u'breadth']","[u'you', u'escaped', u'death', u'by', u'a', u'hair', u's', u'breadth']"
179,"[u'obey', u'letter', u'reward', u'bungling', u'play', u'fool', u'doubt', u'live', u'tell', u'tale']","[u'obey', u'them', u'to', u'the', u'letter', u'and', u'you', u'will', u'be', u'well', u'rewarded', u'any', u'bungling', u'or', u'playing', u'the', u'fool', u'and', u'i', u'doubt', u'you', u'will', u'live', u'to', u'tell', u'the', u'tale']"
180,"[u'would', u'swan', u'find', u'shelter', u'storm', u'ride', u'masted', u'sail']","[u'and', u'would', u'the', u'swans', u'find', u'shelter', u'from', u'the', u'storm', u'or', u'ride', u'it', u'out', u'like', u'three', u'masted', u'sailing', u'ships']"
181,"[u'ask', u'take', u'risk', u'life', u'limb']","[u'phil', u'angell', u'asked', u'him', u'what', u'does', u'it', u'take', u'to', u'risk', u'life', u'and', u'limb']"
182,"[u'know', u'safe', u'come']","[u'och', u'he', u'knows', u'you', u'are', u'in', u'safe', u'hands', u'like', u'when', u'you', u'come', u'round', u'here']"
183,[u'safe'],"[u'just', u'to', u'be', u'on', u'the', u'safe', u'side']"
184,"[u'safety', u'number']","[u'safety', u'in', u'numbers']"
185,"[u'like', u'sail', u'wind']","[u'you', u'really', u'do', u'like', u'to', u'sail', u'close', u'to', u'the', u'wind', u'do', u'not', u'you']"
186,"[u'worth', u'pound', u'year', u'stake']","[u'a', u'business', u'worth', u'three', u'billion', u'pounds', u'a', u'year', u'is', u'at', u'stake']"
187,"[u'bombing', u'start', u'take', u'cover', u'basement']","[u'if', u'the', u'bombing', u'starts', u'take', u'cover', u'in', u'the', u'basement']"
188,"[u'could', u'wink', u'would', 'not_miss']","[u'i', u'could', u'do', u'with', u'forty', u'winks', u'right', u'now', u'and', u'otley', u'would', u'never', u'miss', u'me']"
189,"[u'come', u'old', u'golden', u'let', u'hit', u'hay']","[u'come', u'on', u'old', u'girl', u'up', u'the', u'golden', u'stairs', u'let', u'us', u'hit', u'the', u'hay']"
190,"[u'suppose', u'come', u'room', u'minute', u'see', u'book', u'tell', u'leave', u'hit', u'sack']","[u'i', u'suppose', u'it', u'came', u'into', u'my', u'room', u'for', u'a', u'few', u'minutes', u'to', u'see', u'a', u'book', u'i', u'had', u'been', u'telling', u'him', u'about', u'then', u'he', u'left', u'and', u'i', u'hit', u'the', u'sack']"
191,"[u'swaying', u'ship', u'use', u'sleep', u'log']","[u'and', u'the', u'the', u'swaying', u'of', u'the', u'ship', u'and', u'i', u'used', u'to', u'sleep', u'like', u'a', u'log']"
192,[u'sleep'],"[u'and', u'then', u'sleep', u'on', u'it']"
193,"[u'wink', 'not_sleep']","[u'i', u'can', u'not', u'sleep', u'a', u'wink', u'now']"
194,"[u'marriage', u'turn', u'sleep']","[u'like', u'the', u'carters', u'the', u'parsons', u'marriage', u'was', u'in', u'turn', u'around', u'only', u'there', u'it', u'was', u'dennis', u'who', u'was', u'the', u'sleeping', u'partner']"
195,"[u'end', u'bedraggled', u'run', u'trail', u'ninth']","[u'she', u'ended', u'a', u'bedraggled', u'also', u'ran', u'trailing', u'in', u'ninth']"
196,"[u'blow', u'whole', u'celebrate', u'square']","[u'but', u'if', u'you', u'blow', u'the', u'whole', u'lot', u'on', u'celebrating', u'you', u'will', u'be', u'back', u'to', u'square', u'one']"
197,"[u'tree', u'destroy', u'could', u'bear', u'fruit']","[u'the', u'tree', u'was', u'destroyed', u'before', u'it', u'could', u'bear', u'fruit']"
198,"[u'can', u'champion', u'bring', u'house', u'win']","[u'can', u'desert', u'orchid', u'the', u'champion', u'bring', u'the', u'house', u'down', u'and', u'win']"
199,"[u'anything', u'do', u'life', u'arm', 'not_get', 'not_chance']","[u'never', u'get', u'anything', u'done', u'in', u'this', u'life', u'if', u'you', u'do', u'not', u'chance', u'your', u'arm']"
200,[u'chip'],"[u'anne', u'dawson', u'had', u'your', u'chips']"
201,"[u'must', u'pleased', u'seein', u'geddle', u'come', u'world']","[u'sure', u'an', u'they', u'must', u'be', u'pleased', u'seein', u'the', u'geddle', u'come', u'up', u'in', u'the', u'world', u'like', u'she', u'has']"
202,"[u'today', u'sticker', u'french', u'get', u'course', u'title', u'sixth', u'superb']","[u'today', u's', u'sticker', u'is', u'from', u'the', u'french', u'grand', u'prix', u'he', u'won', u'to', u'get', u'back', u'on', u'course', u'for', u'the', u'title', u'with', u'his', u'sixth', u'superb', u'victory']"
203,"[u'say', u'manage', u'stay', u'crest', u'wave']","[u'he', u'says', u'that', u'he', u'managed', u'to', u'stay', u'on', u'the', u'crest', u'of', u'the', u'wave']"
204,"[u'concerned', u'community', u'dead', u'water']","[u'as', u'far', u'as', u'i', u'am', u'concerned', u'community', u'care', u's', u'dead', u'in', u'the', u'water']"
205,"[u'downhill', u'causeway', u'turf', u'smooth']","[u'it', u'was', u'all', u'downhill', u'to', u'the', u'causeway', u'and', u'the', u'turf', u'was', u'smooth']"
206,"[u'draw', u'blank', u'hazelnut']","[u'but', u'i', u'draw', u'a', u'blank', u'with', u'hazelnuts']"
207,"[u'gon', u'fall', u'bum']","[u'i', u'am', u'gon', u'na', u'fall', u'flat', u'on', u'my', u'bum']"
208,"[u'smile', u'swift', u'grace', u'postscript']","[u'mcleish', u'smiled', u'to', u'himself', u'at', u'the', u'swift', u'fall', u'from', u'grace', u'in', u'the', u'postscript']"
209,"[u'instinct', u'balk', u'enmeshed', u'seem', u'destine', u'fight', u'lose']","[u'while', u'all', u'her', u'instincts', u'balked', u'against', u'becoming', u'too', u'enmeshed', u'with', u'vitor', u'she', u'seemed', u'destined', u'to', u'fight', u'a', u'losing', u'battle']"
210,"[u'test', u'pass', u'fly', u'colour', u'destroy', u'enemy', u'aircraft', u'achieve', u'excellent', u'bombing']","[u'it', u'was', u'a', u'test', u'that', u'the', u'three', u'ninetieth', u'passed', u'with', u'flying', u'colours', u'destroying', u'thirteen', u'enemy', u'aircraft', u'and', u'achieving', u'excellent', u'bombing', u'results']"
211,[u'front'],"[u'aunt', u'may', u'is', u'only', u'the', u'front', u'runner']"
212,"[u'money', u'plough', u'dog', u'racing', u'track', u'could', u'improve', u'amenity', u'strengthen', u'security', u'would', u'encourage', u'go', u'dog']","[u'if', u'the', u'money', u'was', u'ploughed', u'back', u'into', u'dog', u'racing', u'tracks', u'could', u'improve', u'amenities', u'and', u'strengthen', u'security', u'which', u'would', u'encourage', u'more', u'people', u'to', u'go', u'to', u'the', u'dogs']"
213,"[u'house', u'go', u'smoke', u'road', u'run']","[u'erm', u'should', u'the', u'house', u'go', u'up', u'in', u'smoke', u'theresa', u'across', u'the', u'road', u'run', u'to', u'her']"
214,"[u'great', u'fell', u'knee', u'snow']","[u'the', u'great', u'creature', u'fell', u'on', u'its', u'knees', u'in', u'the', u'snow']"
215,"[u'month', u'poll', u'predict', u'unprecedented', u'landslide', u'next', u'general']","[u'for', u'months', u'the', u'polls', u'have', u'been', u'predicting', u'an', u'unprecedented', u'landslide', u'victory', u'for', u'the', u'right', u'in', u'next', u'month', u's', u'general', u'election']"
